"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2025-01-01,1,2024-12-29,0.15,4860.55,"quantile","ILI incidence","MT"
2025-01-01,1,2024-12-29,0.2,4870.4,"quantile","ILI incidence","MT"
2025-01-01,1,2024-12-29,0.25,4882.5,"quantile","ILI incidence","MT"
2025-01-01,1,2024-12-29,0.3,4893,"quantile","ILI incidence","MT"
2025-01-01,1,2024-12-29,0.35,4912,"quantile","ILI incidence","MT"
2025-01-01,1,2024-12-29,0.4,4918.2,"quantile","ILI incidence","MT"
2025-01-01,1,2024-12-29,0.45,4927,"quantile","ILI incidence","MT"
2025-01-01,1,2024-12-29,0.5,4934,"quantile","ILI incidence","MT"
2025-01-01,1,2024-12-29,0.55,4943.6,"quantile","ILI incidence","MT"
2025-01-01,1,2024-12-29,0.6,4957.2,"quantile","ILI incidence","MT"
2025-01-01,1,2024-12-29,0.65,4968.35,"quantile","ILI incidence","MT"
2025-01-01,1,2024-12-29,0.7,4973.3,"quantile","ILI incidence","MT"
2025-01-01,1,2024-12-29,0.75,4980.75,"quantile","ILI incidence","MT"
2025-01-01,1,2024-12-29,0.8,4992.2,"quantile","ILI incidence","MT"
2025-01-01,1,2024-12-29,0.85,5003.6,"quantile","ILI incidence","MT"
2025-01-01,1,2024-12-29,0.9,5026.2,"quantile","ILI incidence","MT"
2025-01-01,1,2024-12-29,0.95,5047.4,"quantile","ILI incidence","MT"
2025-01-01,1,2024-12-29,0.975,5064.4,"quantile","ILI incidence","MT"
2025-01-01,1,2024-12-29,0.99,5099.37,"quantile","ILI incidence","MT"
2025-01-01,1,2024-12-29,0.01,12,"quantile","ILI incidence","NL"
2025-01-01,1,2024-12-29,0.025,13,"quantile","ILI incidence","NL"
2025-01-01,1,2024-12-29,0.05,15.95,"quantile","ILI incidence","NL"
2025-01-01,1,2024-12-29,0.1,18,"quantile","ILI incidence","NL"
2025-01-01,1,2024-12-29,0.15,18.85,"quantile","ILI incidence","NL"
